"Activity name","Activity status","Error","Activity type","Run start","Duration","Integration runtime","User properties","Activity run ID","Log"
"DynamicCopy","Succeeded","","Copy","1/20/2026, 3:02:29 AM","17s","AutoResolveIntegrationRuntime (East US)","{}","a8839ce6-9706-46f8-bfbc-211d17617d72",""
"DynamicCopy","Succeeded","","Copy","1/20/2026, 3:02:11 AM","17s","AutoResolveIntegrationRuntime (East US)","{}","3af9fa77-ea3c-4341-9c1c-7c431f696ec2",""
"DynamicCopy","Succeeded","","Copy","1/20/2026, 3:01:56 AM","14s","AutoResolveIntegrationRuntime (East US)","{}","50d6f5d8-42e5-49ec-a6c5-43b08b20ed6a",""
"DynamicCopy","Succeeded","","Copy","1/20/2026, 3:01:39 AM","17s","AutoResolveIntegrationRuntime (East US)","{}","1f74ac77-33a4-435b-be78-3ba34b2b0070",""
"DynamicCopy","Succeeded","","Copy","1/20/2026, 3:01:22 AM","16s","AutoResolveIntegrationRuntime (East US)","{}","e32c3bc2-281e-4a21-b8c4-c905cb86e5e2",""
"DynamicCopy","Succeeded","","Copy","1/20/2026, 3:01:05 AM","15s","AutoResolveIntegrationRuntime (East US)","{}","b0efa513-4793-40d7-a98e-7311f965dd57",""
"DynamicCopy","Succeeded","","Copy","1/20/2026, 3:00:41 AM","23s","AutoResolveIntegrationRuntime (East US)","{}","e63b98f6-4828-456b-9abb-2c372b71a18a",""
"DynamicCopy","Succeeded","","Copy","1/20/2026, 3:00:24 AM","15s","AutoResolveIntegrationRuntime (East US)","{}","abeb50bb-0bb9-412d-b1e0-fb7122e4edf5",""
"DynamicCopy","Succeeded","","Copy","1/20/2026, 3:00:10 AM","13s","AutoResolveIntegrationRuntime (East US)","{}","a3a2a887-23e1-4c70-98a5-010002bc6a7b",""
"DynamicCopy","Succeeded","","Copy","1/20/2026, 2:59:49 AM","20s","AutoResolveIntegrationRuntime (East US)","{}","e0f774a9-b7b5-478c-ad3c-2241d5ada875",""
"ForEachGIT","Succeeded","","ForEach","1/20/2026, 2:59:48 AM","2m 59s","","{}","83b5c87b-3b61-4ff4-991e-4d7f90ebc212",""
"Lookupgit","Succeeded","","Lookup","1/20/2026, 2:59:31 AM","17s","AutoResolveIntegrationRuntime (East US)","{}","3229258c-076d-4ec7-8c01-0eaed8da347d",""